GENE	EVENT	ERR2598266	ERR2598270	E[dPsi]	MV[dPsi]_at_0.95
LAS1L	HsaEX0035417	0.975654	0.982356	-0.006703	0
KRIT1	HsaEX0035028	0.988140	0.979231	0.008909	0.02
LAP3	HsaEX0035326	0.921810	0.971523	-0.049713	0
CD99	HsaEX0013932	0.730097	0.932040	-0.201943	0.05
SPATA20	HsaEX0061239	0.986449	0.987598	-0.001149	0
C16orf42	HsaEX0009622	0.991791	0.978808	0.012983	0.02
PKD1	HsaEX0047818	0.993813	0.991951	0.001863	0
RANBP9	HsaEX0052182	0.968854	0.977704	-0.008849	0
UQCRC1	HsaEX0069491	0.997374	0.999512	-0.002138	0
CLK1	HsaEX0015694	0.984984	0.989822	-0.004838	0
ZRANB1	HsaEX0074523	0.992274	0.982252	0.010022	0.02
PEX3	HsaEX0046663	0.982619	0.984965	-0.002346	0
GABARAPL2	HsaEX0026748	0.926739	0.990014	-0.063275	0.04
NSUN2	HsaEX0043940	0.978718	0.959178	0.019540	0.04
PSMA4	HsaEX0050582	0.984490	0.968259	0.016232	0.02
AP2S1	HsaEX0004935	0.998623	0.996077	0.002547	0
TPR	HsaEX0066732	0.989172	0.982588	0.006584	0.01
HEXB	HsaEX0029842	0.986744	0.989679	-0.002935	0
HERPUD1	HsaEX0029815	0.990604	0.990447	0.000158	0
USE1	HsaEX0069536	0.994866	0.993917	0.000949	0
PET112L	HsaEX0046613	0.976678	0.976028	0.000650	0.01
BRP44L	HsaEX0008491	0.997093	0.998908	-0.001816	0
ACAA1	HsaEX0001660	0.993471	0.980114	0.013357	0.02
HAGH	HsaEX0029225	0.978429	0.972902	0.005528	0.01
AP3D1	HsaEX0004961	0.995234	0.990043	0.005191	0.01
SLC9A3R2	HsaEX0060040	0.972987	0.996101	-0.023114	0
KARS	HsaEX0032864	0.993050	0.995795	-0.002745	0
TLE2	HsaEX0065072	0.950946	0.944832	0.006114	0.02
GOLGA5	HsaEX0027985	0.969736	0.960310	0.009425	0.03
IDH3G	HsaEX0030896	0.996148	0.997742	-0.001595	0
SIRT2	HsaEX0058430	0.976330	0.990827	-0.014497	0
ERLEC1	HsaEX0023088	0.995847	0.974265	0.021582	0.03
NUCB2	HsaEX0044134	0.934675	0.969443	-0.034768	0
EIF2B3	HsaEX0021931	0.908142	0.952357	-0.044215	0
DAZAP1	HsaEX0018545	0.078001	0.050625	0.027377	0.05
PRKACA	HsaEX0050090	0.995182	0.996448	-0.001266	0
HSD17B10	HsaEX0030525	0.966656	0.989308	-0.022651	0
AP1M1	HsaEX0004901	0.947457	0.986265	-0.038808	0
TSG101	HsaEX0067551	0.976064	0.973188	0.002876	0.01
C19orf10	HsaEX0009921	0.978252	0.983283	-0.005031	0
TUBE1	HsaEX0068316	0.948432	0.981097	-0.032666	0
EIF4G3	HsaEX0022061	0.915801	0.941322	-0.025522	0
ACAT1	HsaEX0001823	0.979350	0.991027	-0.011677	0
MCCC1	HsaEX0038197	0.986061	0.993658	-0.007597	0
FDFT1	HsaEX0025493	0.996255	0.988286	0.007969	0.01
KIF22	HsaEX0034530	0.979938	0.975967	0.003971	0.01
SMARCA2	HsaEX0060271	0.039372	0.100228	-0.060856	0
SMARCA2	HsaEX0060272	0.971503	0.987138	-0.015635	0
EIF3I	HsaEX0022002	0.995647	0.993405	0.002242	0
CTTN	HsaEX0017943	0.991880	0.994476	-0.002596	0
SRRT	HsaEX0061798	0.991906	0.994358	-0.002451	0
GNAS	HsaEX0027841	0.974858	0.661282	0.313576	0.36
MAPKAPK5	HsaEX0037823	0.940485	0.983186	-0.042702	0
FUS	HsaEX0026600	0.952478	0.913544	0.038934	0.06
FUS	HsaEX0026601	0.998068	0.997320	0.000748	0
GANAB	HsaEX0026993	0.972391	0.989240	-0.016849	0
PCBP4	HsaEX0045801	0.954893	0.972662	-0.017769	0
PCBP4	HsaEX0045802	0.970450	0.986379	-0.015929	0
YPEL3	HsaEX0072024	0.987970	0.988988	-0.001018	0
GNPTG	HsaEX0027929	0.995052	0.993216	0.001836	0
USP48	HsaEX0069952	0.991383	0.972148	0.019235	0.05
AARS	HsaEX0000156	0.988416	0.989136	-0.000720	0
AARS	HsaEX0000157	0.997777	0.986733	0.011044	0.01
OSGEP	HsaEX0044971	0.989189	0.992898	-0.003710	0
RNF31	HsaEX0054109	0.966129	0.927862	0.038266	0.08
AAAS	HsaEX0000111	0.957562	0.993665	-0.036103	0
AAAS	HsaEX0000112	0.784731	0.929131	-0.144400	0
NUBP2	HsaEX0044117	0.972143	0.984972	-0.012830	0
MRPS18A	HsaEX0040176	0.941218	0.954245	-0.013026	0
SH3GLB1	HsaEX0058022	0.981418	0.978890	0.002528	0.01
ARVCF	HsaEX0006128	0.977535	0.918671	0.058864	0.09
MED15	HsaEX0038594	0.964310	0.988522	-0.024211	0
LZTR1	HsaEX0037129	0.986879	0.972070	0.014809	0.02
SNRPD3	HsaEX0060715	0.946996	0.963051	-0.016055	0
LGALS1	HsaEX0035663	0.984726	0.991416	-0.006690	0
CBY1	HsaEX0012786	0.983118	0.958810	0.024308	0.04
FBXO7	HsaEX0025352	0.986699	0.986890	-0.000191	0
ARSA	HsaEX0006059	0.860472	0.959261	-0.098789	0
TXN2	HsaEX0068436	0.936014	0.994264	-0.058250	0.02
RABL4	HsaEX0051838	0.987918	0.984730	0.003188	0.01
PSMA3	HsaEX0050581	0.965233	0.994435	-0.029202	0
SRSF5	HsaEX0061801	0.998091	0.997380	0.000711	0
SRP54	HsaEX0061733	0.993478	0.989817	0.003661	0.01
FAM158A	HsaEX0024071	0.983293	0.983681	-0.000387	0
GMPR2	HsaEX0027811	0.944504	0.960709	-0.016206	0
GSS	HsaEX0028856	0.989762	0.953512	0.036251	0.06
ABHD12	HsaEX0000599	0.976636	0.979031	-0.002395	0
CTSZ	HsaEX0017940	0.852546	0.949920	-0.097374	0.03
PRPF6	HsaEX0050393	0.992968	0.990629	0.002338	0
PRPF6	HsaEX0050394	0.932480	0.983057	-0.050577	0
HM13	HsaEX0030147	0.882558	0.964896	-0.082337	0
CDK5RAP1	HsaEX0014306	0.773985	0.808640	-0.034655	0
ACOT8	HsaEX0001964	0.989891	0.890966	0.098925	0.13
NAA10	HsaEX0041447	0.973552	0.986787	-0.013235	0
CDK16	HsaEX0014284	0.997895	0.992233	0.005662	0.01
CDK16	HsaEX0014285	0.997366	0.996075	0.001291	0
FAM48A	HsaEX0024468	0.888334	0.964816	-0.076482	0
FAM48A	HsaEX0024469	0.915458	0.962240	-0.046782	0
MAPK3	HsaEX0037761	0.979173	0.991348	-0.012175	0
COG4	HsaEX0016200	0.975405	0.969122	0.006284	0.02
TSC2	HsaEX0067510	0.992018	0.989668	0.002350	0
NME4	HsaEX0043156	0.984507	0.992380	-0.007872	0
TCEB2	HsaEX0064131	0.951472	0.958275	-0.006803	0
DNAJA3	HsaEX0020236	0.173108	0.315945	-0.142836	0
CDIPT	HsaEX0014252	0.994683	0.991287	0.003396	0
CDIPT	HsaEX0014253	0.959435	0.970218	-0.010783	0
MYST1	HsaEX0041372	0.992762	0.993609	-0.000847	0
C16orf62	HsaEX0009667	0.976692	0.975495	0.001198	0.01
RAB2A	HsaEX0051617	0.998022	0.993012	0.005010	0.05
TTC35	HsaEX0067925	0.990167	0.992533	-0.002365	0
INTS10	HsaEX0031861	0.836251	0.109502	0.726749	0.75
R3HCC1	HsaEX0051509	0.988277	0.984006	0.004271	0.01
SNRNP70	HsaEX0060707	0.141015	0.148773	-0.007758	0
CLPTM1	HsaEX0015777	0.996732	0.994160	0.002573	0
PLEKHJ1	HsaEX0048409	0.990693	0.983209	0.007484	0.01
OAZ1	HsaEX0044504	0.982357	0.991364	-0.009006	0
PTOV1	HsaEX0050900	0.993619	0.992243	0.001377	0
ILVBL	HsaEX0031564	0.984247	0.993248	-0.009001	0
HNRNPUL1	HsaEX0030314	0.960224	0.978181	-0.017957	0
RP11	HsaEX0054349	0.983309	0.990885	-0.007576	0
DDX49	HsaEX0018964	0.989629	0.985475	0.004154	0.01
GSK3A	HsaEX0028824	0.998030	0.992370	0.005660	0.01
MOSPD3	HsaEX0039860	0.977852	0.983734	-0.005882	0
LSM5	HsaEX0036853	0.966552	0.979254	-0.012702	0
POLD2	HsaEX0048892	0.835679	0.968445	-0.132766	0.04
DVL1	HsaEX0021230	0.987326	0.958341	0.028985	0.05
GBF1	HsaEX0027148	0.990268	0.980649	0.009619	0.02
BCCIP	HsaEX0007865	0.991163	0.987079	0.004085	0.01
CUL2	HsaEX0017995	0.992843	0.976983	0.015860	0.03
AATF	HsaEX0000204	0.989086	0.969042	0.020044	0.03
PSMB3	HsaEX0050591	0.961292	0.980000	-0.018708	0
SLC25A11	HsaEX0058966	0.981426	0.995545	-0.014119	0
SMARCD2	HsaEX0060338	0.860671	0.989050	-0.128379	0.02
KAT2A	HsaEX0032873	0.991451	0.945495	0.045956	0.06
HDAC5	HsaEX0029408	0.994217	0.991792	0.002425	0
SUPT6H	HsaEX0062953	0.913133	0.984800	-0.071667	0
SNX25	HsaEX0060859	0.990521	0.965410	0.025111	0.04
MTCH2	HsaEX0040420	0.992187	0.983800	0.008387	0.01
FNBP4	HsaEX0026130	0.901199	0.962464	-0.061265	0
RSRC2	HsaEX0055830	0.994565	0.956377	0.038188	0.05
TENC1	HsaEX0064459	0.975407	0.982958	-0.007551	0
LTA4H	HsaEX0036880	0.712371	0.831893	-0.119522	0
NUDT3	HsaEX0044179	0.975051	0.992355	-0.017304	0
PPP2CA	HsaEX0049645	0.998001	0.993274	0.004727	0
FAM162A	HsaEX0024113	0.959420	0.997340	-0.037920	0.01
PCCB	HsaEX0045832	0.888931	0.988370	-0.099438	0.01
USP4	HsaEX0069865	0.915735	0.883726	0.032009	0.05
USP4	HsaEX0069866	0.990168	0.991561	-0.001393	0
USP4	HsaEX0069867	0.987474	0.987664	-0.000189	0
AC008073.5	HsaEX0000951	0.859747	0.961249	-0.101501	0.04
NRBP1	HsaEX0043753	0.994834	0.994497	0.000337	0
INO80B	HsaEX0031684	0.990628	0.977455	0.013173	0.02
UNC50	HsaEX0069370	0.971414	0.976312	-0.004897	0
SF3B1	HsaEX0057571	0.071206	0.058417	0.012789	0.03
STK25	HsaEX0062464	0.983826	0.984303	-0.000477	0
BIRC6	HsaEX0008136	0.941385	0.982351	-0.040966	0
ROBLD3	HsaEX0054201	0.977736	0.916732	0.061004	0.07
AKR1A1	HsaEX0003461	0.985650	0.956486	0.029164	0.07
RPN2	HsaEX0055525	0.993874	0.978949	0.014925	0.03
UCHL3	HsaEX0069094	0.983432	0.954356	0.029076	0.04
GTF3C3	HsaEX0029010	0.979666	0.976628	0.003038	0.01
ITGB1BP1	HsaEX0032438	0.990828	0.962476	0.028352	0.03
GOT1	HsaEX0028069	0.992587	0.995117	-0.002530	0
C5orf32	HsaEX0011112	0.993054	0.990803	0.002251	0.01
SERP1	HsaEX0057371	0.992249	0.991166	0.001083	0
LIAS	HsaEX0035752	0.978080	0.973948	0.004132	0.02
HNRNPA2B1	HsaEX0030279	0.154819	0.128335	0.026484	0.04
PKN1	HsaEX0047874	0.988030	0.995553	-0.007523	0
PIGT	HsaEX0047469	0.989204	0.923084	0.066120	0.07
PEX6	HsaEX0046677	0.989763	0.978125	0.011638	0.02
CLPP	HsaEX0015772	0.985903	0.991231	-0.005328	0
SNRPB	HsaEX0060708	0.070064	0.027246	0.042818	0.05
RRBP1	HsaEX0055731	0.966605	0.988978	-0.022373	0
MKKS	HsaEX0039361	0.915304	0.967026	-0.051723	0
SBDS	HsaEX0056290	0.820170	0.974586	-0.154416	0.09
TRAP1	HsaEX0066907	0.962897	0.990725	-0.027827	0
KTN1	HsaEX0035084	0.048965	0.075539	-0.026574	0
AAMP	HsaEX0000155	0.992131	0.991784	0.000347	0
SGCE	HsaEX0057772	0.226037	0.940787	-0.714750	0.57
DGCR6L	HsaEX0019369	0.936693	0.975086	-0.038392	0
PRKRIP1	HsaEX0050244	0.989455	0.981197	0.008258	0.01
DCTD	HsaEX0018761	0.985391	0.984451	0.000940	0.01
KIF1C	HsaEX0034484	0.991829	0.997131	-0.005302	0
ILF3	HsaEX0031554	0.988766	0.991025	-0.002260	0
PARP2	HsaEX0045600	0.993736	0.984562	0.009175	0.01
PRKCSH	HsaEX0050189	0.980227	0.996158	-0.015931	0
DDA1	HsaEX0018806	0.973669	0.989810	-0.016141	0
ADRM1	HsaEX0002885	0.987157	0.975768	0.011388	0.02
C19orf66	HsaEX0010036	0.988903	0.973270	0.015633	0.03
RBM39	HsaEX0052711	0.820214	0.974307	-0.154093	0.08
PTCD3	HsaEX0050746	0.978945	0.991486	-0.012541	0
PTCD3	HsaEX0050747	0.988553	0.993454	-0.004901	0
ILKAP	HsaEX0031559	0.992556	0.990816	0.001739	0
GRSF1	HsaEX0028778	0.991093	0.989830	0.001263	0.01
HRSP12	HsaEX0030491	0.916886	0.947687	-0.030802	0
LARS	HsaEX0035399	0.964535	0.984567	-0.020033	0
HSD17B4	HsaEX0030550	0.994291	0.996179	-0.001888	0
C14orf159	HsaEX0009433	0.913973	0.981475	-0.067501	0.01
CAMK1	HsaEX0012196	0.983848	0.980360	0.003488	0.02
GSTM1	HsaEX0028874	0.977768	0.990495	-0.012727	0
FBXO18	HsaEX0025248	0.984324	0.979710	0.004614	0.03
FBXO18	HsaEX0025249	0.939362	0.986382	-0.047020	0
CCNH	HsaEX0013649	0.989802	0.979259	0.010543	0.01
ELP2	HsaEX0022247	0.851276	0.986966	-0.135690	0.04
CARS2	HsaEX0012493	0.916758	0.985285	-0.068527	0
UBQLN1	HsaEX0068923	0.812758	0.736632	0.076126	0.13
DMTF1	HsaEX0020007	0.987348	0.937104	0.050244	0.08
SNX14	HsaEX0060803	0.994755	0.973302	0.021454	0.03
OS9	HsaEX0044853	0.559419	0.465403	0.094016	0.13
REPS1	HsaEX0053050	0.933416	0.956513	-0.023097	0
MED4	HsaEX0038668	0.986591	0.988086	-0.001495	0
TACO1	HsaEX0063391	0.941366	0.992287	-0.050921	0
MRPL47	HsaEX0040145	0.975806	0.996325	-0.020519	0
CDK9	HsaEX0014351	0.991600	0.990769	0.000831	0
C9orf78	HsaEX0011725	0.975667	0.981583	-0.005916	0
PSMB7	HsaEX0050594	0.996831	0.988502	0.008330	0.01
TLN1	HsaEX0065133	0.970768	0.993923	-0.023155	0
DCTN3	HsaEX0018773	0.998328	0.990055	0.008274	0.01
DCTN3	HsaEX0018774	0.847377	0.992045	-0.144668	0.08
KLC4	HsaEX0034684	0.986254	0.984641	0.001614	0.01
YIPF3	HsaEX0071994	0.996135	0.995142	0.000993	0
SLTM	HsaEX0060197	0.991647	0.938306	0.053340	0.07
RABGGTB	HsaEX0051826	0.989172	0.993389	-0.004216	0
HADHB	HsaEX0029222	0.893871	0.987763	-0.093892	0.02
PREB	HsaEX0049983	0.899206	0.864350	0.034856	0.08
LRPPRC	HsaEX0036490	0.992421	0.993673	-0.001252	0
ARL3	HsaEX0005865	0.986266	0.994836	-0.008570	0
USO1	HsaEX0069560	0.961127	0.988711	-0.027584	0
HADH	HsaEX0029218	0.977575	0.997724	-0.020148	0
COPS3	HsaEX0016773	0.994402	0.994045	0.000356	0
SCYL1	HsaEX0056679	0.913251	0.935255	-0.022005	0
APP	HsaEX0005195	0.998484	0.954606	0.043878	0.06
AC020915.4	HsaEX0001160	0.995247	0.988951	0.006297	0.01
PSMA5	HsaEX0050584	0.895486	0.988098	-0.092612	0.02
MRPL24	HsaEX0040116	0.985812	0.998311	-0.012499	0
PI4KB	HsaEX0047298	0.992016	0.988409	0.003607	0.01
LASS2	HsaEX0035423	0.981175	0.986201	-0.005026	0
LGTN	HsaEX0035716	0.987212	0.993990	-0.006778	0
UBAP2L	HsaEX0068692	0.989068	0.983934	0.005134	0.01
INTS3	HsaEX0031886	0.907870	0.983664	-0.075794	0
EPHX1	HsaEX0022800	0.981896	0.994987	-0.013091	0
ARL8A	HsaEX0005885	0.997054	0.984760	0.012294	0.01
MRPS5	HsaEX0040208	0.977572	0.984044	-0.006472	0
GOLGA4	HsaEX0027972	0.943470	0.932070	0.011400	0.04
GOLGA4	HsaEX0027973	0.751683	0.106774	0.644909	0.68
EIF2B5	HsaEX0021944	0.987561	0.988686	-0.001125	0
FIP1L1	HsaEX0025816	0.992596	0.988047	0.004549	0.01
RARS2	HsaEX0052334	0.974386	0.985376	-0.010990	0
