GENE	EVENT	BRAIN	LIVER	dPSI	MV[dPsi]
LAS1L	HsaEX0035417	0.970019	0.987019	-0.017000	0
KRIT1	HsaEX0035028	0.988664	0.983987	0.004676	0.03
LAP3	HsaEX0035326	0.926628	0.985192	-0.058563	0
CD99	HsaEX0013932	0.736958	0.962170	-0.225211	0.07
SPATA20	HsaEX0061239	0.988164	0.982821	0.005343	0.04
C16orf42	HsaEX0009622	0.991422	0.973601	0.017822	0.05
PKD1	HsaEX0047818	0.994173	0.982847	0.011326	0.04
RANBP9	HsaEX0052182	0.968920	0.976681	-0.007761	0
UQCRC1	HsaEX0069491	0.997402	0.996944	0.000459	0
CLK1	HsaEX0015694	0.984889	0.993704	-0.008815	0
ZRANB1	HsaEX0074523	0.991660	0.988175	0.003485	0.02
PEX3	HsaEX0046663	0.983894	0.987031	-0.003137	0
GABARAPL2	HsaEX0026748	0.925395	0.984086	-0.058691	0
NSUN2	HsaEX0043940	0.982549	0.987299	-0.004750	0
PSMA4	HsaEX0050582	0.983734	0.977338	0.006396	0.02
AP2S1	HsaEX0004935	0.998472	0.990118	0.008354	0.02
TPR	HsaEX0066732	0.987812	0.987029	0.000783	0.02
HEXB	HsaEX0029842	0.988148	0.992145	-0.003997	0
HERPUD1	HsaEX0029815	0.989848	0.986428	0.003420	0.02
USE1	HsaEX0069536	0.994722	0.991390	0.003332	0.01
PET112L	HsaEX0046613	0.975523	0.911706	0.063817	0.14
BRP44L	HsaEX0008491	0.997257	0.989849	0.007407	0.02
ACAA1	HsaEX0001660	0.993022	0.979845	0.013177	0.02
HAGH	HsaEX0029225	0.977893	0.981967	-0.004074	0
AP3D1	HsaEX0004961	0.995325	0.992669	0.002656	0.01
SLC9A3R2	HsaEX0060040	0.968571	0.995441	-0.026870	0
KARS	HsaEX0032864	0.992749	0.990027	0.002722	0.02
TLE2	HsaEX0065072	0.952086	0.946086	0.006000	0.08
GOLGA5	HsaEX0027985	0.972422	0.945633	0.026789	0.11
IDH3G	HsaEX0030896	0.996426	0.984627	0.011799	0.03
SIRT2	HsaEX0058430	0.975396	0.972623	0.002772	0.07
ERLEC1	HsaEX0023088	0.994637	0.989325	0.005312	0.02
NUCB2	HsaEX0044134	0.935749	0.986681	-0.050932	0
EIF2B3	HsaEX0021931	0.910709	0.945277	-0.034568	0
DAZAP1	HsaEX0018545	0.077171	0.062415	0.014756	0.08
PRKACA	HsaEX0050090	0.995597	0.986030	0.009567	0.04
HSD17B10	HsaEX0030525	0.963918	0.992693	-0.028774	0
AP1M1	HsaEX0004901	0.948564	0.982539	-0.033976	0
TSG101	HsaEX0067551	0.977143	0.983677	-0.006534	0
C19orf10	HsaEX0009921	0.978765	0.978682	0.000083	0.02
TUBE1	HsaEX0068316	0.946974	0.991753	-0.044778	0
EIF4G3	HsaEX0022061	0.916214	0.926163	-0.009949	0
ACAT1	HsaEX0001823	0.983160	0.986348	-0.003188	0
MCCC1	HsaEX0038197	0.987391	0.994091	-0.006700	0
FDFT1	HsaEX0025493	0.996513	0.975896	0.020617	0.06
KIF22	HsaEX0034530	0.981590	0.978568	0.003022	0.02
SMARCA2	HsaEX0060271	0.037366	0.192369	-0.155003	0.01
SMARCA2	HsaEX0060272	0.971093	0.975604	-0.004511	0
EIF3I	HsaEX0022002	0.995685	0.987213	0.008472	0.03
CTTN	HsaEX0017943	0.991923	0.989442	0.002481	0.02
SRRT	HsaEX0061798	0.991527	0.992898	-0.001371	0
GNAS	HsaEX0027841	0.974878	0.453331	0.521547	0.61
MAPKAPK5	HsaEX0037823	0.946281	0.981163	-0.034882	0
FUS	HsaEX0026600	0.952295	0.799174	0.153121	0.27
FUS	HsaEX0026601	0.997941	0.996813	0.001128	0
GANAB	HsaEX0026993	0.969805	0.993452	-0.023647	0
PCBP4	HsaEX0045801	0.954920	0.970866	-0.015947	0
PCBP4	HsaEX0045802	0.972104	0.973829	-0.001726	0
YPEL3	HsaEX0072024	0.987910	0.981676	0.006234	0.04
GNPTG	HsaEX0027929	0.994506	0.993734	0.000771	0.01
USP48	HsaEX0069952	0.992197	0.986702	0.005495	0.03
AARS	HsaEX0000156	0.987068	0.969689	0.017379	0.06
AARS	HsaEX0000157	0.997815	0.974174	0.023640	0.11
OSGEP	HsaEX0044971	0.988083	0.987547	0.000537	0.02
RNF31	HsaEX0054109	0.968686	0.956513	0.012173	0.06
AAAS	HsaEX0000111	0.958189	0.993319	-0.035130	0
AAAS	HsaEX0000112	0.783657	0.976370	-0.192714	0.06
NUBP2	HsaEX0044117	0.970072	0.987732	-0.017660	0
MRPS18A	HsaEX0040176	0.938782	0.976786	-0.038004	0
SH3GLB1	HsaEX0058022	0.982450	0.981312	0.001138	0.05
ARVCF	HsaEX0006128	0.973502	0.977035	-0.003533	0
MED15	HsaEX0038594	0.963526	0.976755	-0.013229	0
LZTR1	HsaEX0037129	0.989107	0.977010	0.012097	0.05
SNRPD3	HsaEX0060715	0.947160	0.981307	-0.034147	0
LGALS1	HsaEX0035663	0.985318	0.972350	0.012967	0.02
CBY1	HsaEX0012786	0.984405	0.982457	0.001947	0.07
FBXO7	HsaEX0025352	0.987639	0.990300	-0.002661	0
ARSA	HsaEX0006059	0.858895	0.986000	-0.127105	0.04
TXN2	HsaEX0068436	0.935854	0.951747	-0.015894	0
RABL4	HsaEX0051838	0.987445	0.977148	0.010298	0.05
PSMA3	HsaEX0050581	0.964059	0.995774	-0.031715	0
SRSF5	HsaEX0061801	0.998024	0.997682	0.000342	0
SRP54	HsaEX0061733	0.992690	0.988800	0.003891	0.03
FAM158A	HsaEX0024071	0.983539	0.985055	-0.001516	0
GMPR2	HsaEX0027811	0.946895	0.986626	-0.039731	0
GSS	HsaEX0028856	0.990286	0.982815	0.007471	0.12
ABHD12	HsaEX0000599	0.976435	0.977774	-0.001339	0
CTSZ	HsaEX0017940	0.851815	0.996641	-0.144826	0.07
PRPF6	HsaEX0050393	0.993543	0.982347	0.011197	0.04
PRPF6	HsaEX0050394	0.928291	0.979003	-0.050712	0
HM13	HsaEX0030147	0.878176	0.935762	-0.057587	0
CDK5RAP1	HsaEX0014306	0.775750	0.990472	-0.214722	0.11
ACOT8	HsaEX0001964	0.990512	0.973275	0.017236	0.06
NAA10	HsaEX0041447	0.973810	0.963478	0.010333	0.04
