GENE	EVENT	LIVER	HEART	dPSI	MV[dPsi]
LAS1L	HsaEX0035417	0.986406	0.983200	0.003207	0
KRIT1	HsaEX0035028	0.983768	0.979500	0.004268	0
LAP3	HsaEX0035326	0.985254	0.972251	0.013003	0
CD99	HsaEX0013932	0.963308	0.931707	0.031600	0
SPATA20	HsaEX0061239	0.982715	0.987196	-0.004481	0
C16orf42	HsaEX0009622	0.972861	0.979117	-0.006256	0
PKD1	HsaEX0047818	0.982878	0.990601	-0.007723	0
RANBP9	HsaEX0052182	0.976726	0.975647	0.001079	0
UQCRC1	HsaEX0069491	0.996896	0.999467	-0.002572	0
CLK1	HsaEX0015694	0.994072	0.990060	0.004012	0
ZRANB1	HsaEX0074523	0.987889	0.981842	0.006047	0
PEX3	HsaEX0046663	0.986818	0.984122	0.002696	0
GABARAPL2	HsaEX0026748	0.984248	0.989546	-0.005298	0.01
NSUN2	HsaEX0043940	0.987364	0.959219	0.028145	0
PSMA4	HsaEX0050582	0.977306	0.968269	0.009037	0
AP2S1	HsaEX0004935	0.990184	0.995894	-0.005710	0
TPR	HsaEX0066732	0.986898	0.982170	0.004728	0
HEXB	HsaEX0029842	0.991995	0.988835	0.003160	0
HERPUD1	HsaEX0029815	0.986197	0.990295	-0.004098	0
USE1	HsaEX0069536	0.991526	0.994193	-0.002666	0
PET112L	HsaEX0046613	0.913030	0.975998	-0.062968	0.07
BRP44L	HsaEX0008491	0.990051	0.998896	-0.008845	0.01
ACAA1	HsaEX0001660	0.980160	0.980163	-0.000003	0
HAGH	HsaEX0029225	0.981531	0.973192	0.008339	0
AP3D1	HsaEX0004961	0.992782	0.989243	0.003540	0
SLC9A3R2	HsaEX0060040	0.995663	0.996057	-0.000394	0
KARS	HsaEX0032864	0.988985	0.995688	-0.006704	0
TLE2	HsaEX0065072	0.944566	0.945134	-0.000568	0.02
GOLGA5	HsaEX0027985	0.946278	0.960078	-0.013800	0.02
IDH3G	HsaEX0030896	0.983954	0.997835	-0.013881	0.01
SIRT2	HsaEX0058430	0.971982	0.991478	-0.019497	0.02
ERLEC1	HsaEX0023088	0.988446	0.973238	0.015208	0
NUCB2	HsaEX0044134	0.987284	0.969809	0.017475	0
EIF2B3	HsaEX0021931	0.945138	0.953592	-0.008455	0.01
DAZAP1	HsaEX0018545	0.065311	0.049293	0.016019	0
PRKACA	HsaEX0050090	0.986208	0.996378	-0.010170	0.01
HSD17B10	HsaEX0030525	0.992784	0.988810	0.003974	0
AP1M1	HsaEX0004901	0.982107	0.986096	-0.003989	0
TSG101	HsaEX0067551	0.983991	0.973357	0.010634	0
C19orf10	HsaEX0009921	0.978213	0.982398	-0.004185	0
TUBE1	HsaEX0068316	0.991678	0.982039	0.009640	0
EIF4G3	HsaEX0022061	0.926458	0.939266	-0.012808	0.03
ACAT1	HsaEX0001823	0.986699	0.990162	-0.003463	0
MCCC1	HsaEX0038197	0.994316	0.993582	0.000734	0
FDFT1	HsaEX0025493	0.976196	0.988170	-0.011973	0.01
KIF22	HsaEX0034530	0.978720	0.976349	0.002370	0
SMARCA2	HsaEX0060271	0.190812	0.102761	0.088051	0
SMARCA2	HsaEX0060272	0.976763	0.986833	-0.010071	0.02
EIF3I	HsaEX0022002	0.987599	0.993628	-0.006028	0
CTTN	HsaEX0017943	0.989342	0.994637	-0.005295	0
SRRT	HsaEX0061798	0.993135	0.994148	-0.001013	0
GNAS	HsaEX0027841	0.456389	0.660608	-0.204220	0.19
MAPKAPK5	HsaEX0037823	0.981609	0.984081	-0.002472	0
FUS	HsaEX0026600	0.803555	0.911486	-0.107931	0.14
FUS	HsaEX0026601	0.996976	0.997333	-0.000357	0
GANAB	HsaEX0026993	0.993282	0.989037	0.004245	0
PCBP4	HsaEX0045801	0.970560	0.975271	-0.004711	0.01
PCBP4	HsaEX0045802	0.974044	0.987085	-0.013041	0.01
YPEL3	HsaEX0072024	0.981649	0.988827	-0.007178	0
GNPTG	HsaEX0027929	0.993549	0.993247	0.000302	0
USP48	HsaEX0069952	0.986068	0.973744	0.012323	0
AARS	HsaEX0000156	0.969762	0.989248	-0.019486	0.02
AARS	HsaEX0000157	0.973994	0.986423	-0.012429	0.01
OSGEP	HsaEX0044971	0.986786	0.992255	-0.005469	0
