GENE	EVENT	COORD	LENGTH	COMPLEX	FOREBRAIN.ADOLESCENT_ERR2598266	FOREBRAIN.ADOLESCENT_ERR2598267	FOREBRAIN.ADOLESCENT_ERR2598268	FOREBRAIN.ADOLESCENT_ERR2598269	FOREBRAIN.ELDERLY_ERR2598280	FOREBRAIN.ELDERLY_ERR2598281	FOREBRAIN.MIDDLE_ADULT_ERR2598305	FOREBRAIN.MIDDLE_ADULT_ERR2598306	FOREBRAIN.YOUNG_ADULT_ERR2598346	FOREBRAIN.YOUNG_ADULT_ERR2598347	FOREBRAIN.YOUNG_ADULT_ERR2598348	FOREBRAIN.YOUNG_ADULT_ERR2598349	FOREBRAIN.YOUNG_ADULT_ERR2598350	HEART.ADOLESCENT_ERR2598270	HEART.MIDDLE_ADULT_ERR2598307	HEART.YOUNG_ADULT_ERR2598351	LIVER.ADOLESCENT_ERR2598275	LIVER.ELDERLY_ERR2598284	LIVER.ELDERLY_ERR2598285	LIVER.MIDDLE_ADULT_ERR2598310	LIVER.YOUNG_ADULT_ERR2598357	LIVER.YOUNG_ADULT_ERR2598358	LIVER.YOUNG_ADULT_ERR2598359
LAS1L	HsaEX0035417	chrX:64734703-64734850	148	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
KRIT1	HsaEX0035028	chr7:91843925-91844091	167	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
LAP3	HsaEX0035326	chr4:17598669-17598757	89	S	94.24	95.34	97.94	100.0	100.0	100.0	93.5	97.84	97.33	100.0	100.0	100.0	92.82	100.0	98.21	100.0	97.43	100.0	98.49	98.25	100.0	99.14	98.5
CD99	HsaEX0013932	chrX:2635646-2635693	48	S	74.32	100.0	97.67	100.0	96.29	89.78	86.97	91.05	100.0	96.52	92.77	100.0	93.41	92.5	94.71	94.65	90.74	92.49	96.69	88.61	98.55	95.41	100.0
SPATA20	HsaEX0061239	chr17:48625915-48625979	65	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
C16orf42	HsaEX0009622	chr16:1399890-1399953	64	S	100.0	97.6	98.11	96.27	96.05	96.67	98.48	99.29	96.36	95.35	96.0	98.4	100.0	96.4	100.0	100.0	96.64	100.0	98.82	98.67	100.0	100.0	100.0
PKD1	HsaEX0047818	chr16:2149645-2149771	127	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.33	100.0	97.51	100.0	100.0	98.05	100.0	100.0	100.0	100.0	100.0	100.0
RANBP9	HsaEX0052182	chr6:13634663-13634784	122	S	97.33	99.39	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.16	100.0	100.0	100.0	100.0	100.0	98.86	100.0	99.39	100.0	100.0	100.0	94.12
UQCRC1	HsaEX0069491	chr3:48637915-48638000	86	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.81	100.0	100.0	99.72	100.0	100.0	99.42	100.0	99.73	98.79	100.0	100.0	100.0	100.0	100.0	100.0
CLK1	HsaEX0015694	chr2:201722441-201722607	167	S	98.91	99.27	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.47	99.57	100.0	99.09	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.22	100.0	100.0
ZRANB1	HsaEX0074523	chr10:126672028-126672257	230	S	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
PEX3	HsaEX0046663	chr6:143806289-143806385	97	S	100.0	100.0	100.0	100.0	100.0	98.1	100.0	100.0	100.0	100.0	96.95	93.94	100.0	97.85	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
GABARAPL2	HsaEX0026748	chr16:75601935-75602107	173	S	92.67	93.68	95.49	95.29	99.58	95.42	95.72	93.56	100.0	98.25	93.04	94.76	98.49	98.65	93.73	96.5	93.94	94.9	95.77	99.0	100.0	97.85	100.0
